initial_seed,mutation_seed,generation,species_count,frequencies,dominant_frequency,frequency_entropy_nats,mean_score,score_min,score_max,extinct_count,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap,mean_node_count,max_node_count,max_memory_depth
17,23,16,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,17,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,18,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,2,0,0,7,3.888888888888889,9,3
17,23,19,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,20,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
17,23,21,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,22,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,23,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,3,0,0,6,3.888888888888889,9,3
17,23,24,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,0,0,0,9,3.888888888888889,9,3
17,23,25,9,0.37151139350500051 0.35748860649499953 0.045865604136419831 0.075469816926722125 0.045865604136419824 0.044134395863580193 0.0050961782373799809 0.013289356976700259 0.041279043722777839,0.3715113935050005,1.5669473401914196,0.0,0.0,0.0,0,1,0,0,8,3.888888888888889,9,3
