max_species,initial_seed,mutation_seed,generation,species_count,mean_score,dominant_frequency,max_memory_depth,mutation_unchanged,mutation_new,mutation_merged,mutation_blocked_at_cap
9,17,23,2,9,0.0,0.35171958284641076,2,0,4,1,0
9,17,23,3,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,4,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,5,9,0.0,0.35171958284641076,2,1,0,0,8
9,17,23,6,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,7,9,0.0,0.35171958284641076,2,0,0,1,8
9,17,23,8,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,9,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,10,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,11,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,12,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,13,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,14,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,15,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,16,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,17,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,18,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,19,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,20,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,21,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,22,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,23,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,24,9,0.0,0.35171958284641076,2,0,0,0,9
9,17,23,25,9,0.0,0.3715113935050005,3,15,0,0,4
9,29,31,1,6,1.5044166666666665,0.30939179134314893,2,0,3,0,0
9,29,31,2,6,1.376560379816011,0.3080477162240765,2,0,3,0,0
9,29,31,3,6,1.5514064367862834,0.3329110926369347,2,0,3,0,0
9,29,31,4,9,1.3492951559736068,0.287848349843317,2,0,5,0,1
9,29,31,5,9,1.358729107567937,0.2836234458032755,2,0,4,0,4
9,29,31,6,8,1.2936597651347885,0.33890288400744465,2,0,5,0,2
9,29,31,7,9,1.1799617159413955,0.3091219639887937,2,0,3,0,5
9,29,31,8,9,1.1705523120487422,0.31945293263264545,3,0,1,0,8
9,29,31,9,8,1.1527401083621384,0.3610185329718406,3,0,3,0,5
9,29,31,10,9,1.0311502347004091,0.35194804083758773,3,0,1,0,8
9,29,31,11,9,0.951286946492773,0.368232092651867,3,0,0,0,9
9,29,31,12,9,0.8934564268982409,0.38477623147634076,3,0,0,0,9
9,29,31,13,9,0.8736255849597744,0.39784192955969283,3,0,0,0,9
9,29,31,14,9,0.8601735599580971,0.4065765086517137,3,0,0,0,9
9,29,31,15,9,0.850803501328941,0.41361479139927504,3,0,0,0,9
9,29,31,16,9,0.8438268811079937,0.4190135913774587,3,0,0,0,9
9,29,31,17,9,0.8383273788404687,0.4233666850964569,3,0,0,0,9
9,29,31,18,9,0.8338703695673457,0.426940967864004,3,0,0,0,9
9,29,31,19,9,0.8302014239374917,0.42984521701553305,3,0,0,0,9
9,29,31,20,9,0.8271601885241273,0.4321212804259881,3,0,0,0,9
9,29,31,21,9,0.8246481770819755,0.43379558008445216,3,0,0,0,9
9,29,31,22,9,0.8226075233563737,0.4348873382240521,3,0,0,0,9
9,29,31,23,9,0.8210571505784492,0.4354021686589778,3,0,0,0,9
9,29,31,24,9,0.820067164288888,0.43534948683112317,3,0,0,0,9
9,29,31,25,9,0.8209271771136395,0.4347777197039352,3,0,0,0,9
12,7,11,1,6,1.417361111111111,0.30422111206938635,2,0,3,0,0
12,7,11,2,6,1.5504734065769827,0.3016265989885973,2,0,3,0,0
12,7,11,3,8,1.5179149668405207,0.29365696240713435,3,0,4,0,0
12,7,11,4,12,1.562447376582669,0.2642082959323351,3,0,6,0,0
12,7,11,5,12,1.442621854520468,0.2441579478340479,3,0,5,0,7
12,7,11,6,12,1.386050753524513,0.24451682001873845,3,0,0,0,12
12,7,11,7,12,1.335869605873003,0.24571169356096907,3,0,0,0,12
12,7,11,8,12,1.292617234315031,0.24893451392816035,3,0,0,0,12
12,7,11,9,12,1.2508125571678043,0.2538397956319094,3,0,0,0,12
12,7,11,10,12,1.2138667417529662,0.2596178073341983,3,0,0,0,12
12,7,11,11,12,1.180814578780587,0.2661690495651997,3,0,0,0,12
12,7,11,12,12,1.150622376311483,0.27344594228044704,3,0,0,0,12
12,7,11,13,12,1.121343716522163,0.2814375525308708,3,0,0,0,12
12,7,11,14,12,1.0922504934874984,0.2901123423705361,3,0,0,0,12
12,7,11,15,12,1.0614258041442536,0.2994664753702335,3,0,0,0,12
12,7,11,16,12,1.0281707957516222,0.3095381361193814,3,0,0,0,12
12,7,11,17,12,0.9919104377963768,0.32042537743764787,3,0,0,0,12
12,7,11,18,12,0.9525414555440021,0.33231287427409225,3,0,0,0,12
12,7,11,19,12,0.9103872291462078,0.34552386835521283,3,0,0,0,12
12,7,11,20,12,0.8659076792716618,0.3605757953054049,3,0,0,0,12
12,7,11,21,12,0.8200182334108264,0.3784026983605499,3,0,0,0,12
12,7,11,22,12,0.7742268147265159,0.4005927103928464,3,0,0,0,12
12,7,11,23,12,0.7317149211978254,0.42963546528013537,4,0,0,0,12
12,7,11,24,12,0.7025402896803392,0.46641006746589236,4,0,0,0,12
12,7,11,25,10,0.6993229497358446,0.5069585171365886,4,0,2,0,8
12,17,23,1,6,1.3659166666666667,0.31996531862070215,2,0,3,0,0
12,17,23,2,9,0.0,0.35171958284641076,2,0,4,1,0
12,17,23,3,12,0.0,0.34621473472097724,2,0,3,1,5
